id,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
1.00E+19,14103100,0,0,site_bad_000,bad_domain_00,f000,app_bad_000,bad_app_dom_00,a000,device_bot_00,b0t_ip_00,mdl_000,1,0,999999,0,0,0,99,175,123456789,0
1.00E+19,3,1005,0,site_bad_001,bad_domain_01,f001,app_bad_001,bad_app_dom_01,a001,device_bot_01,b0t_ip_01,mdl_001,1,1,8330,320,50,761,3,99999,100075,23
1.00E+19,3,1005,0,site_bad_002,bad_domain_02,f002,app_bad_002,bad_app_dom_02,a002,device_bot_02,b0t_ip_02,mdl_002,1,1,8330,320,50,761,3,175,100075,23
1.00E+19,3,1005,0,site_bad_003,bad_domain_03,f003,app_bad_003,bad_app_dom_03,a003,device_bot_03,b0t_ip_03,mdl_003,1,1,8330,320,50,0,3,99999,100075,23
1.00E+19,3,1005,0,site_bad_004,bad_domain_04,f004,app_bad_004,bad_app_dom_04,a004,device_bot_04,b0t_ip_04,mdl_004,1,0,8330,320,0,761,3,175,100075,23
1.00E+19,3,1005,0,site_bad_000,bad_domain_05,f005,app_bad_000,bad_app_dom_05,a005,device_bot_00,b0t_ip_00,mdl_005,1,1,999999,320,50,761,3,99999,100075,23
1.00E+19,3,0,0,site_bad_001,bad_domain_06,f006,app_bad_001,bad_app_dom_06,a006,device_bot_01,b0t_ip_01,mdl_006,1,1,8330,0,50,0,3,175,100075,23
1.00E+19,14103100,1005,0,site_bad_002,bad_domain_00,f007,app_bad_002,bad_app_dom_07,a007,device_bot_02,b0t_ip_02,mdl_007,1,1,8330,320,50,761,3,99999,100075,23
1.00E+19,3,1005,0,site_bad_003,bad_domain_01,f008,app_bad_003,bad_app_dom_08,a000,device_bot_03,b0t_ip_03,mdl_008,1,0,8330,320,0,761,3,175,100075,23
1.00E+19,3,1005,0,site_bad_004,bad_domain_02,f000,app_bad_004,bad_app_dom_09,a001,device_bot_04,b0t_ip_04,mdl_009,1,1,8330,320,50,0,3,99999,100075,0
1.00E+19,3,1005,0,site_bad_000,bad_domain_03,f001,app_bad_000,bad_app_dom_10,a002,device_bot_00,b0t_ip_00,mdl_010,1,1,999999,320,50,761,99,175,100075,23
1.00E+19,3,1005,0,site_bad_001,bad_domain_04,f002,app_bad_001,bad_app_dom_00,a003,device_bot_01,b0t_ip_01,mdl_011,1,1,8330,320,50,761,3,99999,123456789,23
1.00E+19,3,0,0,site_bad_002,bad_domain_05,f003,app_bad_002,bad_app_dom_01,a004,device_bot_02,b0t_ip_02,mdl_012,1,0,8330,0,0,0,3,175,100075,23
1.00E+19,3,1005,0,site_bad_003,bad_domain_06,f004,app_bad_003,bad_app_dom_02,a005,device_bot_03,b0t_ip_03,mdl_000,1,1,8330,320,50,761,3,99999,100075,23
1.00E+19,14103100,1005,0,site_bad_004,bad_domain_00,f005,app_bad_004,bad_app_dom_03,a006,device_bot_04,b0t_ip_04,mdl_001,1,1,8330,320,50,761,3,175,100075,23
